timestamp_iso,scenario,mode,fps,face_active,body_active,hands_active
2026-04-26T11:17:24,hand_on_face,body,29.83,0,1,0
2026-04-26T11:17:25,hand_on_face,body,29.34,0,1,0
2026-04-26T11:17:26,hand_on_face,body,29.00,0,1,0
2026-04-26T11:17:27,hand_on_face,body,28.99,0,1,0
2026-04-26T11:17:28,hand_on_face,body,28.95,0,1,0
2026-04-26T11:17:29,hand_on_face,body,29.03,0,1,0
2026-04-26T11:17:30,hand_on_face,body,29.98,0,1,0
2026-04-26T11:17:31,hand_on_face,body,28.96,0,1,0
2026-04-26T11:17:32,hand_on_face,body,29.92,0,1,0
2026-04-26T11:17:33,hand_on_face,body,30.03,0,1,0
2026-04-26T11:17:34,hand_on_face,body,29.77,0,1,0
2026-04-26T11:17:35,hand_on_face,body,29.98,0,1,0
2026-04-26T11:17:36,hand_on_face,body,29.97,0,1,0
2026-04-26T11:17:37,hand_on_face,body,29.99,0,1,0
2026-04-26T11:17:38,hand_on_face,body,29.98,0,1,0
2026-04-26T11:17:39,hand_on_face,body,29.95,0,1,0
2026-04-26T11:17:40,hand_on_face,body,30.00,0,1,0
2026-04-26T11:17:41,hand_on_face,body,29.95,0,1,0
2026-04-26T11:17:42,hand_on_face,body,29.99,0,1,0
2026-04-26T11:17:43,hand_on_face,body,29.99,0,1,0
2026-04-26T11:17:44,hand_on_face,body,29.96,0,1,0
2026-04-26T11:17:45,hand_on_face,body,29.96,0,1,0
2026-04-26T11:17:46,hand_on_face,body,30.01,0,1,0
2026-04-26T11:17:47,hand_on_face,body,29.98,0,1,0
2026-04-26T11:19:16,idle,all,20.00,1,1,0
2026-04-26T11:19:17,idle,all,28.93,1,1,0
2026-04-26T11:19:18,idle,all,28.88,1,1,0
2026-04-26T11:19:19,idle,all,28.98,1,1,0
2026-04-26T11:19:20,idle,all,30.05,1,1,1
2026-04-26T11:19:21,idle,all,29.99,1,1,1
2026-04-26T11:19:22,idle,all,29.85,1,1,1
